inverse age of flat (year-1),inverse distance to the nearest MRT station (km-1),price per square metre ($ in thousands)
0.16,7.404,8.913
0.114,1.789,6.308
0.049,1.379,5.963
0.046,1.373,5.511
0.183,15.948,9.774
0.115,1.397,6.114
0.12,1.894,6.588
0.145,6.836,9.171
0.076,1.373,5.533
0.183,10.948,9.365
0.088,1.752,6.2
0.031,1.311,5.253
0.059,1.373,5.963
0.139,1.93,6.695
0.033,1.311,4.994
0.116,1.845,6.329
0.199,17.649,10.807
0.144,3.985,8.073
0.134,1.752,6.738
0.149,4.857,8.525
0.121,1.752,6.631
0.114,1.376,6.157
0.171,14.188,9.752
0.171,8.551,9.278
0.043,1.373,4.908
0.194,20.948,11.238
0.123,1.747,6.566
0.038,1.426,5.511
0.068,1.379,5.963
0.075,1.379,6.049
